FORECAST SUMMARY FOR 2024
=========================

SARIMA Average Forecast: 135.45 million ₽
Prophet Average Forecast: 129.07 million ₽
Linear Models Average Forecast: 132.59 million ₽
Absolute Difference (SARIMA vs Prophet): 6.38 million ₽
Percentage Difference: 4.71%

Monthly Comparison:
------------------
  Month  SARIMA (million ₽)  Prophet (million ₽)  Linear (million ₽)  SARIMA-Prophet (million ₽)  Diff (%)  SARIMA-Linear (million ₽)  Diff Linear (%)
2023-10          119.273082           119.727997            0.000000                   -0.454915  0.381406                 119.273082       100.000000
2023-11          135.825671           129.124091            0.000000                    6.701579  4.933956                 135.825671       100.000000
2023-12          119.158876           122.310477            0.000000                   -3.151601  2.644873                 119.158876       100.000000
2024-01          124.948222           109.346623          105.224731                   15.601598 12.486451                  19.723491        15.785331
2024-02          128.395941           118.238441          118.238081                   10.157499  7.911075                  10.157859         7.911355
2024-03          147.324841           140.449258          146.897286                    6.875583  4.666954                   0.427555         0.290213
2024-04          140.112150           137.853854          142.000975                    2.258296  1.611777                  -1.888826         1.348081
2024-05          125.497860           126.139655          125.951013                   -0.641795  0.511399                  -0.453153         0.361084
2024-06          132.968122           129.238594          131.080596                    3.729528  2.804829                   1.887527         1.419533
2024-07          134.366965           124.298681          126.165299                   10.068284  7.493124                   8.201666         6.103930
2024-08          136.387257           125.963306          123.773909                   10.423951  7.642907                  12.613347         9.248186
2024-09          138.322565           130.772854          132.583628                    7.549711  5.458047                   5.738938         4.148952
2024-10          145.637069           136.300659          140.643766                    9.336410  6.410737                   4.993303         3.428593
2024-11          152.118030           146.325321          153.821200                    5.792709  3.808035                  -1.703171         1.119638
2024-12          151.458789           139.938416          144.739886                   11.520373  7.606275                   6.718902         4.436126
