iter	RMSE
0	9759901.774
1	9628472.082
2	9479836.285
3	9359107.673
4	9215199.267
5	9079724.669
6	8926501.701
7	8796159.811
8	8658545.644
9	8508226.66
10	8377567.434
11	8285756.667
12	8169597.201
13	8063174.222
14	7908781.468
15	7794429.939
16	7672436.257
17	7579983.422
18	7420851.352
19	7306411.618
20	7230218.577
21	7131862.96
22	7028952.501
23	6948023.172
24	6859573.359
25	6758052.995
26	6652572.788
27	6537617.719
28	6410456.69
29	6346666.228
30	6266640.156
31	6144942.134
32	6057030.156
33	5970617.327
34	5884060.033
35	5811698.831
36	5750986.268
37	5636430.296
38	5537398.034
39	5474838.146
40	5419325.548
41	5339464.12
42	5263163.23
43	5187605.986
44	5090863.395
45	5018389.348
46	4949472.062
47	4850953.024
48	4788634.409
49	4701590.987
50	4639975.645
51	4581136.792
52	4519564.053
53	4458539.393
54	4408010.999
55	4347330.044
56	4276516.797
57	4221299.993
58	4150280.718
59	4086043.913
60	4045757.242
61	3998775.62
62	3937881.38
63	3885029.448
64	3829746.679
65	3771647.756
66	3724122.008
67	3689899.27
68	3641386.412
69	3601378.493
70	3534887.778
71	3492716.436
72	3439111
73	3396667.491
74	3365504.119
75	3317116.381
76	3260826.178
77	3221345.358
78	3191640.404
79	3148343.924
80	3109553.063
81	3071668.525
82	3010601.904
83	2974410.227
84	2925665.244
85	2889029.552
86	2848567.941
87	2806900.806
88	2770117.005
89	2731165.193
90	2696746.449
91	2662550.013
92	2618444.33
93	2586135.301
94	2550994.205
95	2520210.857
96	2488136.826
97	2456720.365
98	2424312.115
99	2394961.599
100	2362009.923
101	2332484.798
102	2302613.676
103	2273902.472
104	2240865.937
105	2213529.223
106	2182225.8
107	2154146.837
108	2126073.089
109	2100584.707
110	2074268.064
111	2048160.213
112	2019054.156
113	1994067.189
114	1967157.864
115	1942379.612
116	1917488.382
117	1894339.485
118	1870324.548
119	1848731.4
120	1823898.087
121	1801099.36
122	1777832.054
123	1756181.493
124	1732671.505
125	1710946.032
126	1689502.631
127	1666882.741
128	1643176.921
129	1621409.31
130	1601141.693
131	1581640.557
132	1562527.849
133	1543092.251
134	1523803.597
135	1505541.092
136	1488213.414
137	1469374.287
138	1453017.399
139	1434854.681
140	1417285.726
141	1399563.856
142	1382069.308
143	1364412.426
144	1347389.424
145	1331757.934
146	1314989.836
147	1298308.777
148	1284005.246
149	1264845.884
150	1249045.493
151	1233432.424
152	1218014.519
153	1202789.337
154	1187754.47
155	1173684.159
156	1158363.399
157	1143747.443
158	1126934.349
159	1112633.577
160	1098507.026
161	1084571.461
162	1070657.263
163	1058990.879
164	1045291.479
165	1029990.449
166	1014926.64
167	1003676.784
168	990907.3901
169	978521.0475
170	966289.5342
171	954202.8966
172	942040.9549
173	930265.4428
174	918637.1246
175	907154.1604
176	893801.2603
177	881847.6886
178	870824.5923
179	859933.8272
180	850617.9156
181	839247.1375
182	828407.8675
183	816397.7656
184	806192.7933
185	795436.2884
186	783793.8553
187	772359.9769
188	762705.4771
189	753171.6584
190	743375.959
191	732648.9737
192	722025.0027
193	711710.2041
194	702813.8264
195	692754.376
196	682915.0639
197	673248.7822
198	665027.8826
199	656920.4522
200	648568.5144
201	639305.7859
202	630310.3795
203	622639.2248
204	615074.1162
205	607113.5775
206	599524.6577
207	592030.5994
208	584630.2167
209	577322.3389
210	570105.8096
211	562979.4869
212	556054.416
213	548861.8222
214	542001.0493
215	535226.0361
216	528306.6588
217	521480.4481
218	514961.9424
219	508524.9181
220	502282.116
221	496111.159
222	490044.9531
223	483919.3911
224	477670.3603
225	471699.4807
226	465803.2371
227	459791.3516
228	453856.6748
229	448001.9196
230	442401.8955
231	436871.8717
232	431239.1702
233	425681.9762
234	420199.2148
235	414777.7573
236	409593.0352
237	404320.0614
238	399117.6007
239	393984.654
240	388920.2378
241	383923.3842
242	379124.3418
243	374385.2874
244	369878.9298
245	365255.4431
246	360565.0451
247	356057.9819
248	351596.4873
249	347201.5312
250	342745.1228
251	338618.6045
252	334385.8719
253	330206.0484
254	326078.4728
255	321995.266
256	317970.3251
257	313869.346
258	309945.9791
259	306071.6543
260	302245.7586
261	298568.5522
262	294836.4453
263	291150.9897
264	287511.6022
265	283917.7072
266	280364.7092
267	276860.1503
268	273399.3984
269	269936.6094
270	266704.8992
271	263371.0879
272	260078.9493
273	256827.9624
274	253617.6128
275	250447.3926
276	247316.8001
277	244225.3401
278	241172.5233
279	238157.8667
280	235180.8933
281	232241.1321
282	229338.1179
283	226599.2626
284	223863.5622
285	221065.2676
286	218301.9517
287	215681.0863
288	213082.915
289	210575.4503
290	207943.2571
291	205311.5417
292	202898.8074
293	200458.1748
294	198057.5051
295	195581.7863
296	193107.0602
297	190634.9332
298	188251.9965
299	185898.8465
300	183575.1109
301	181354.9863
302	179206.653
303	176966.5698
304	174701.3434
305	172547.8506
306	170391.0024
307	168350.825
308	166335.4738
309	164256.2804
310	162292.0699
311	160263.4189
312	158260.1262
313	156348.9499
314	154503.297
315	152684.1576
316	150752.9819
317	148868.5696
318	147121.0599
319	145235.9817
320	143505.5309
321	141711.7118
322	140051.6281
323	138300.9828
324	136685.2773
325	135092.8853
326	133362.6579
327	131695.6247
328	130101.1304
329	128576.15
330	127259.1552
331	125723.2522
332	124151.7115
333	122886.9205
334	121406.4513
335	120176.424
336	118635.8459
337	117366.7816
338	116117.9629
339	114666.4883
340	113288.8436
341	111983.3694
342	110617.1952
343	109345.9509
344	107979.1265
345	106629.3874
346	105296.52
347	104089.818
348	102883.6541
349	101660.7613
350	100356.7108
351	99102.25189
352	97936.95401
353	96766.32624
354	95808.08863
355	94665.09637
356	93481.78265
357	92313.26035
358	91253.37331
359	90112.70613
360	89041.19852
361	88165.66843
362	87063.59756
363	85975.30257
364	84900.61127
365	84070.48941
366	83253.19218
367	82269.16511
368	81240.80053
369	80455.99535
370	79506.72321
371	78743.60538
372	77830.23656
373	76909.53643
374	75877.86408
375	75154.87771
376	74286.92037
377	73312.74192
378	72326.44807
379	71422.36745
380	70745.42413
381	69799.9558
382	68927.45634
383	68065.86312
384	67299.17235
385	66377.54885
386	65509.87615
387	64637.8709
388	64023.71689
389	63342.27773
390	62615.18631
391	61816.28456
392	61234.81528
393	60662.58088
394	59856.52776
395	59156.09958
396	58371.81425
397	57687.73112
398	57152.20588
399	56396.05473
400	55875.93431
401	55223.16378
402	54647.60739
403	54149.65453
404	53472.78384
405	52848.64141
406	52188.03339
407	51499.09723
408	50820.83135
409	50165.63236
410	49538.56195
411	49090.2448
412	48464.30359
413	47875.08009
414	47259.26627
415	46685.84735
416	46038.65245
417	45438.03747
418	44867.23845
419	44283.34039
420	43708.47041
421	43159.79958
422	42618.42094
423	42072.17441
424	41533.12993
425	41030.67246
426	40508.74887
427	39993.28814
428	39446.1059
429	38951.80549
430	38464.90792
431	37947.72159
432	37472.67168
433	37022.86591
434	36578.9103
435	36113.75023
436	35661.9912
437	35202.66606
438	34780.99842
439	34346.23327
440	33935.26275
441	33511.38626
442	33080.90286
443	32668.01049
444	32277.55907
445	31892.20608
446	31494.45245
447	31117.24481
448	30717.66014
449	30333.68938
450	29948.49128
451	29626.23958
452	29308.83147
453	28942.47107
454	28597.48022
455	28304.7189
456	27945.47424
457	27588.10213
458	27259.78213
459	26914.02647
460	26594.12648
461	26278.42501
462	25949.94469
463	25623.77405
464	25289.10181
465	24968.44905
466	24642.76166
467	24329.45279
468	24012.50736
469	23727.47825
470	23446.1951
471	23207.75854
472	22905.35643
473	22634.17871
474	22366.1433
475	22102.06407
476	21800.97165
477	21524.91479
478	21271.16761
479	21005.9088
480	20758.63888
481	20491.21938
482	20236.35154
483	19972.8383
484	19737.8907
485	19489.91554
486	19245.77804
487	19019.94842
488	18796.88457
489	18561.92351
490	18344.57506
491	18112.59027
492	17901.32853
493	17709.29086
494	17488.39084
495	17262.70055
496	17089.12725
497	16876.72453
498	16658.95439
499	16450.71746
