iter	Passed	Remaining
0	39	19937
1	65	16423
2	85	14146
3	125	15551
4	158	15714
5	223	18399
6	258	18225
7	300	18477
8	340	18572
9	380	18662
10	415	18479
11	435	17708
12	465	17456
13	502	17452
14	534	17273
15	569	17236
16	606	17241
17	645	17285
18	676	17122
19	710	17044
20	754	17205
21	799	17373
22	845	17543
23	874	17342
24	913	17348
25	956	17432
26	983	17234
27	1008	17003
28	1046	16988
29	1077	16880
30	1118	16923
31	1149	16812
32	1190	16841
33	1229	16845
34	1262	16768
35	1287	16594
36	1360	17029
37	1386	16858
38	1412	16693
39	1450	16675
40	1489	16673
41	1530	16686
42	1568	16665
43	1607	16659
44	1644	16631
45	1681	16599
46	1703	16423
47	1723	16227
48	1759	16194
49	1795	16162
50	1837	16174
51	1871	16127
52	1908	16095
53	1948	16094
54	1987	16083
55	2024	16049
56	2055	15975
57	2090	15933
58	2125	15890
59	2164	15876
60	2183	15714
61	2220	15687
62	2258	15668
63	2294	15634
64	2331	15603
65	2380	15654
66	2415	15608
67	2459	15627
68	2514	15706
69	2556	15702
70	2583	15608
71	2620	15574
72	2657	15547
73	2694	15512
74	2730	15472
75	2761	15407
76	2798	15375
77	2835	15341
78	2874	15319
79	2913	15294
80	2950	15261
81	2987	15230
82	3006	15106
83	3043	15073
84	3081	15042
85	3118	15013
86	3151	14962
87	3191	14939
88	3227	14906
89	3263	14868
90	3303	14846
91	3339	14811
92	3376	14777
93	3414	14749
94	3451	14713
95	3487	14678
96	3581	14878
97	3618	14844
98	3657	14816
99	3701	14805
100	3739	14772
101	3776	14734
102	3812	14693
103	3849	14655
104	3890	14634
105	3936	14631
106	3990	14655
107	4037	14653
108	4080	14636
109	4122	14617
110	4160	14580
111	4197	14540
112	4234	14500
113	4269	14457
114	4310	14430
115	4351	14404
116	4390	14371
117	4427	14334
118	4464	14295
119	4503	14259
120	4549	14250
121	4601	14257
122	4639	14220
123	4677	14184
124	4715	14147
125	4752	14106
126	4788	14063
127	4826	14026
128	4863	13988
129	4902	13953
130	4941	13918
131	4976	13874
132	5011	13829
133	5047	13785
134	5083	13745
135	5121	13706
136	5157	13666
137	5195	13628
138	5231	13586
139	5271	13554
140	5308	13517
141	5350	13489
142	5388	13453
143	5424	13409
144	5461	13370
145	5499	13333
146	5534	13290
147	5571	13251
148	5608	13211
149	5644	13169
150	5695	13162
151	5760	13187
152	5799	13153
153	5836	13113
154	5880	13088
155	5919	13052
156	5956	13013
157	5992	12971
158	6030	12933
159	6067	12892
160	6103	12851
161	6140	12811
162	6177	12771
163	6213	12729
164	6250	12690
165	6287	12650
166	6325	12613
167	6364	12578
168	6400	12535
169	6437	12496
170	6475	12458
171	6516	12426
172	6554	12388
173	6591	12349
174	6627	12308
175	6665	12269
176	6702	12231
177	6775	12256
178	6814	12221
179	6850	12179
180	6887	12139
181	6927	12104
182	6963	12062
