date,forecast_amount,log_forecast,month,quarter,year
2024-01-07,30108664.0,17.220324,January,Q1,2024
2024-01-14,29867864.0,17.212294,January,Q1,2024
2024-01-21,29728502.0,17.207617,January,Q1,2024
2024-01-28,29691100.0,17.206358,January,Q1,2024
2024-02-04,29725098.0,17.207502,February,Q1,2024
2024-02-11,29769810.0,17.209005,February,Q1,2024
2024-02-18,29819764.0,17.210682,February,Q1,2024
2024-02-25,29880226.0,17.212708,February,Q1,2024
2024-03-03,29916096.0,17.213907,March,Q1,2024
2024-03-10,29953038.0,17.215141,March,Q1,2024
2024-03-17,30001408.0,17.216755,March,Q1,2024
2024-03-24,30051064.0,17.218409,March,Q1,2024
2024-03-31,30110158.0,17.220373,March,Q1,2024
2024-04-07,30131702.0,17.221088,April,Q2,2024
2024-04-14,30155908.0,17.221891,April,Q2,2024
2024-04-21,30180076.0,17.222692,April,Q2,2024
2024-04-28,30202878.0,17.223448,April,Q2,2024
2024-05-05,30223566.0,17.224133,May,Q2,2024
2024-05-12,30242248.0,17.22475,May,Q2,2024
2024-05-19,30258924.0,17.225302,May,Q2,2024
2024-05-26,30273878.0,17.225796,May,Q2,2024
2024-06-02,30287334.0,17.22624,June,Q2,2024
2024-06-09,30299408.0,17.226639,June,Q2,2024
2024-06-16,30310218.0,17.226995,June,Q2,2024
2024-06-23,30319876.0,17.227314,June,Q2,2024
2024-06-30,30328494.0,17.227598,June,Q2,2024
2024-07-07,30336244.0,17.227854,July,Q3,2024
2024-07-14,30343190.0,17.228083,July,Q3,2024
2024-07-21,30349500.0,17.22829,July,Q3,2024
2024-07-28,30355112.0,17.228476,July,Q3,2024
2024-08-04,30360152.0,17.228642,August,Q3,2024
2024-08-11,30364610.0,17.228788,August,Q3,2024
2024-08-18,30368722.0,17.228924,August,Q3,2024
2024-08-25,30372316.0,17.229042,August,Q3,2024
2024-09-01,30375616.0,17.22915,September,Q3,2024
2024-09-08,30378572.0,17.229248,September,Q3,2024
2024-09-15,30381122.0,17.229332,September,Q3,2024
2024-09-22,30383498.0,17.22941,September,Q3,2024
2024-09-29,30385642.0,17.22948,September,Q3,2024
2024-10-06,30387496.0,17.229542,October,Q4,2024
2024-10-13,30389236.0,17.229599,October,Q4,2024
2024-10-20,30390682.0,17.229647,October,Q4,2024
2024-10-27,30392074.0,17.229692,October,Q4,2024
2024-11-03,30393350.0,17.229734,November,Q4,2024
2024-11-10,30394396.0,17.229769,November,Q4,2024
2024-11-17,30395438.0,17.229803,November,Q4,2024
2024-11-24,30396308.0,17.229832,November,Q4,2024
2024-12-01,30397062.0,17.229856,December,Q4,2024
2024-12-08,30397756.0,17.22988,December,Q4,2024
2024-12-15,30398454.0,17.229902,December,Q4,2024
2024-12-22,30399032.0,17.229921,December,Q4,2024
2024-12-29,30399552.0,17.229939,December,Q4,2024
