date,forecast_amount,log_forecast,month,quarter,year
2024-01-07,28768766.0,17.1748,January,Q1,2024
2024-01-14,28842940.0,17.177376,January,Q1,2024
2024-01-21,28851466.0,17.177671,January,Q1,2024
2024-01-28,28874206.0,17.17846,January,Q1,2024
2024-02-04,28972068.0,17.181843,February,Q1,2024
2024-02-11,28974502.0,17.181927,February,Q1,2024
2024-02-18,28930048.0,17.180391,February,Q1,2024
2024-02-25,28930764.0,17.180416,February,Q1,2024
2024-03-03,28799182.0,17.175858,March,Q1,2024
2024-03-10,28666504.0,17.17124,March,Q1,2024
2024-03-17,28622796.0,17.169714,March,Q1,2024
2024-03-24,28637812.0,17.170238,March,Q1,2024
2024-03-31,28772002.0,17.174913,March,Q1,2024
2024-04-07,28773706.0,17.174973,April,Q2,2024
2024-04-14,28772938.0,17.174946,April,Q2,2024
2024-04-21,28771620.0,17.1749,April,Q2,2024
2024-04-28,28769314.0,17.17482,April,Q2,2024
2024-05-05,28763552.0,17.17462,May,Q2,2024
2024-05-12,28757248.0,17.1744,May,Q2,2024
2024-05-19,28751926.0,17.174215,May,Q2,2024
2024-05-26,28746278.0,17.174019,May,Q2,2024
2024-06-02,28744578.0,17.17396,June,Q2,2024
2024-06-09,28746880.0,17.17404,June,Q2,2024
2024-06-16,28750722.0,17.174173,June,Q2,2024
2024-06-23,28754228.0,17.174295,June,Q2,2024
2024-06-30,28753898.0,17.174284,June,Q2,2024
2024-07-07,28753350.0,17.174265,July,Q3,2024
2024-07-14,28752802.0,17.174246,July,Q3,2024
2024-07-21,28752258.0,17.174227,July,Q3,2024
2024-07-28,28751762.0,17.17421,July,Q3,2024
2024-08-04,28751378.0,17.174196,August,Q3,2024
2024-08-11,28751214.0,17.17419,August,Q3,2024
2024-08-18,28751214.0,17.17419,August,Q3,2024
2024-08-25,28751378.0,17.174196,August,Q3,2024
2024-09-01,28751542.0,17.174202,September,Q3,2024
2024-09-08,28751708.0,17.174208,September,Q3,2024
2024-09-15,28751762.0,17.17421,September,Q3,2024
2024-09-22,28751652.0,17.174206,September,Q3,2024
2024-09-29,28751598.0,17.174204,September,Q3,2024
2024-10-06,28751542.0,17.174202,October,Q4,2024
2024-10-13,28751542.0,17.174202,October,Q4,2024
2024-10-20,28751488.0,17.1742,October,Q4,2024
2024-10-27,28751488.0,17.1742,October,Q4,2024
2024-11-03,28751488.0,17.1742,November,Q4,2024
2024-11-10,28751488.0,17.1742,November,Q4,2024
2024-11-17,28751542.0,17.174202,November,Q4,2024
2024-11-24,28751542.0,17.174202,November,Q4,2024
2024-12-01,28751542.0,17.174202,December,Q4,2024
2024-12-08,28751542.0,17.174202,December,Q4,2024
2024-12-15,28751488.0,17.1742,December,Q4,2024
2024-12-22,28751488.0,17.1742,December,Q4,2024
2024-12-29,28751488.0,17.1742,December,Q4,2024
