date,forecast_amount,log_forecast,month,quarter,year
2023-08-13,24862792.0,17.028883,August,Q3,2023
2023-08-20,23642886.0,16.978573,August,Q3,2023
2023-08-27,23197668.0,16.959562,August,Q3,2023
2023-09-03,23337462.0,16.96557,September,Q3,2023
2023-09-10,24228778.0,17.003052,September,Q3,2023
2023-09-17,25655006.0,17.06025,September,Q3,2023
2023-09-24,26455150.0,17.090961,September,Q3,2023
2023-10-01,26289660.0,17.084686,October,Q4,2023
2023-10-08,25308428.0,17.046648,October,Q4,2023
2023-10-15,23480384.0,16.971676,October,Q4,2023
2023-10-22,22050710.0,16.908855,October,Q4,2023
2023-10-29,21821432.0,16.898403,October,Q4,2023
2023-11-05,23085156.0,16.9547,November,Q4,2023
2023-11-12,25508868.0,17.054537,November,Q4,2023
2023-11-19,27913870.0,17.144634,November,Q4,2023
2023-11-26,29293014.0,17.19286,November,Q4,2023
2023-12-03,27877952.0,17.143347,December,Q4,2023
2023-12-10,24255134.0,17.004139,December,Q4,2023
2023-12-17,20319648.0,16.827099,December,Q4,2023
2023-12-24,16967470.0,16.646809,December,Q4,2023
2023-12-31,15250153.0,16.5401,December,Q4,2023
2024-01-07,15299185.0,16.54331,January,Q1,2024
2024-01-14,17165286.0,16.6584,January,Q1,2024
2024-01-21,20323058.0,16.827267,January,Q1,2024
2024-01-28,24170438.0,17.00064,January,Q1,2024
2024-02-04,27116734.0,17.115662,February,Q1,2024
2024-02-11,27778696.0,17.13978,February,Q1,2024
2024-02-18,26515470.0,17.093239,February,Q1,2024
2024-02-25,24777908.0,17.025463,February,Q1,2024
2024-03-03,23655696.0,16.979115,March,Q1,2024
2024-03-10,23684682.0,16.98034,March,Q1,2024
2024-03-17,25096010.0,17.03822,March,Q1,2024
2024-03-24,27552062.0,17.131588,March,Q1,2024
2024-03-31,29586742.0,17.202837,March,Q1,2024
2024-04-07,30165114.0,17.222197,April,Q2,2024
2024-04-14,29240262.0,17.191057,April,Q2,2024
2024-04-21,26632400.0,17.09764,April,Q2,2024
2024-04-28,23988152.0,16.99307,April,Q2,2024
2024-05-05,22384210.0,16.923866,May,Q2,2024
2024-05-12,21847876.0,16.899614,May,Q2,2024
2024-05-19,22592236.0,16.933117,May,Q2,2024
2024-05-26,23843324.0,16.987015,May,Q2,2024
2024-06-02,25230010.0,17.043545,June,Q2,2024
2024-06-09,25759152.0,17.0643,June,Q2,2024
2024-06-16,25404672.0,17.050444,June,Q2,2024
2024-06-23,24866966.0,17.02905,June,Q2,2024
2024-06-30,24010718.0,16.99401,June,Q2,2024
2024-07-07,23618098.0,16.977524,July,Q3,2024
2024-07-14,23924000.0,16.990393,July,Q3,2024
2024-07-21,24311966.0,17.00648,July,Q3,2024
2024-07-28,24474856.0,17.013157,July,Q3,2024
2024-08-04,24218290.0,17.002619,August,Q3,2024
