date,week_of_year,forecast
2024-01-08,2,1.3135789141879028e+71
2024-01-15,3,2.1530438307711067e+71
2024-01-22,4,2.918879280077534e+70
2024-01-29,5,4.2080729270258497e+68
2024-02-05,6,6.119918144568229e+65
2024-02-12,7,9.672695552404386e+61
2024-02-19,8,1.7234829310791658e+57
2024-02-26,9,3.444268371034213e+51
2024-03-04,10,1.1403904959082433e+45
2024-03-11,11,6.6479356201808425e+37
2024-03-18,12,1.089988288314847e+30
2024-03-25,13,6.751406084485517e+21
2024-04-01,14,26233763774656.965
2024-04-08,15,138939.80160617147
2024-04-15,16,0.0014569612908022062
2024-04-22,17,5.382548041766168e-11
2024-04-29,18,1.0695882691710364e-17
2024-05-06,19,1.8083524264865564e-23
2024-05-13,20,3.5959073333410053e-28
2024-05-20,21,7.387410411360289e-32
2024-05-27,22,5.2695776882349666e-67
2024-06-03,23,2.065933935298816e-36
2024-06-10,24,2.0156906338005165e-37
2024-06-17,25,6.561361114842764e-38
2024-06-24,26,4.404842172178349e-38
2024-07-01,27,4.6803250560770067e-38
2024-07-08,28,5.299061374325482e-38
2024-07-15,29,5.814381323175544e-38
2024-07-22,30,5.344234764212811e-38
2024-07-29,31,5.015123527538134e-38
2024-08-05,32,5.281183438018176e-38
2024-08-12,33,1.1013393175761646e-37
2024-08-19,34,5.709121346327626e-37
2024-08-26,35,1.2147099517797522e-35
2024-09-02,36,1.5945093105079856e-33
2024-09-09,37,1.8554466224753388e-30
2024-09-16,38,2.4117188669389465e-26
2024-09-23,39,3.454471381683812e-21
2024-09-30,40,4.752321130545985e-15
2024-10-07,41,6.510328243787253e-08
2024-10-14,42,4.63329142501024
2024-10-21,43,963766467.0453401
2024-10-28,44,3.2945436728185184e+17
2024-11-04,45,9.422104837005788e+25
2024-11-11,46,1.8904264696626724e+34
2024-11-18,47,9.33683845285515e+41
2024-11-25,48,9.072531573743761e+48
2024-12-02,49,1.1561924642096964e+55
2024-12-09,50,1.8625984471552762e+60
2024-12-16,51,2.955407874333103e+64
2024-12-23,52,4.3471776622590523e+67
2024-12-30,1,9.067319642806957e+101
